mtry,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
7,38,7,1.3662361022603563e-9,0.2039477191454549,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model41
14,14,8,6.724527203036274e-4,0.0020853723177666015,accuracy,multiclass,0.46766393487022406,10,0.0013338183037828403,Preprocessor1_Model42
14,14,8,6.724527203036274e-4,0.0020853723177666015,roc_auc,hand_till,0.6506865896172617,10,8.076308461911008e-4,Preprocessor1_Model42
15,13,14,1.1100439802238057e-9,0.009991374203010255,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model43
15,13,14,1.1100439802238057e-9,0.009991374203010255,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model43
3,21,6,0.061948758389431105,4.1151881175292096e-5,accuracy,multiclass,0.49262928807502815,10,0.0011775690051838165,Preprocessor1_Model44
3,21,6,0.061948758389431105,4.1151881175292096e-5,roc_auc,hand_till,0.6787285376737473,10,0.0010407699805268114,Preprocessor1_Model44
2,8,11,1.6490396598045716e-6,25.551291183456325,accuracy,multiclass,0.39962138219872767,10,0.0012433424219831994,Preprocessor1_Model45
2,8,11,1.6490396598045716e-6,25.551291183456325,roc_auc,hand_till,0.6163843929030901,10,8.244125399076679e-4,Preprocessor1_Model45
4,18,14,6.518930054538838e-5,0.002112973079813199,accuracy,multiclass,0.4921367322020143,10,8.665243278127496e-4,Preprocessor1_Model46
4,18,14,6.518930054538838e-5,0.002112973079813199,roc_auc,hand_till,0.6875653515974269,10,8.068362321872547e-4,Preprocessor1_Model46
2,17,2,0.001900115641887155,0.5739120447342454,accuracy,multiclass,0.3914379933621939,10,0.0012343837327411966,Preprocessor1_Model47
2,17,2,0.001900115641887155,0.5739120447342454,roc_auc,hand_till,0.6017963477480744,10,8.28143380265698e-4,Preprocessor1_Model47
18,32,8,4.076925869222724e-4,6.354568959470445e-10,accuracy,multiclass,0.462421806181426,10,0.001179780052069107,Preprocessor1_Model48
18,32,8,4.076925869222724e-4,6.354568959470445e-10,roc_auc,hand_till,0.6455503923575078,10,7.813014567131749e-4,Preprocessor1_Model48
17,8,12,0.07891373137664254,3.749266658389414e-7,accuracy,multiclass,0.7855640947836894,10,0.001374403643155682,Preprocessor1_Model49
17,8,12,0.07891373137664254,3.749266658389414e-7,roc_auc,hand_till,0.9162453437086989,10,6.962479920472411e-4,Preprocessor1_Model49
19,16,12,2.2279928454370405e-7,0.08607923622403293,accuracy,multiclass,0.5068640388754718,10,0.0010016841539830334,Preprocessor1_Model50
19,16,12,2.2279928454370405e-7,0.08607923622403293,roc_auc,hand_till,0.7078757635413052,10,7.133196448328666e-4,Preprocessor1_Model50
